tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_modelo_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio,fecha_recup,dias
DENUNCIA DE ROBO O HURTO,2019-07-24,1999-04-12,QUILMES Nº 6,Buenos Aires,Nacional,1999.0,COUPE,FIAT,UNO,Privado,Física,QUILMES,BUENOS AIRES,Femenino,1965.0,ARGENTINA,1.0,2019-09-27,65 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-17,2010-08-10,ADROGUE Nº 4,Buenos Aires,Importado,2010.0,SEDAN 4 P,VOLKSWAGEN,BORA,Privado,Física,GLEW,BUENOS AIRES,Femenino,1976.0,ARGENTINA,1.0,2019-09-11,56 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-16,2011-10-26,LOMAS DE ZAMORA Nº 9,Buenos Aires,Nacional,2011.0,SEDAN 3 P,RENAULT,CLIO,Privado,Física,TEMPERLEY,BUENOS AIRES,Masculino,1951.0,ARGENTINA,1.0,2019-08-12,27 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-05,2017-08-01,CAPITAL FEDERAL Nº 037,Ciudad Autónoma de Bs.As.,Nacional,2017.0,SEDAN 4 P,VOLKSWAGEN,SURAN,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1979.0,ARGENTINA,1.0,2019-09-12,69 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-15,2010-10-15,CAPITAL FEDERAL Nº 054,Ciudad Autónoma de Bs.As.,Protocolo 21,2010.0,SEDAN 4 P,CHEVROLET,CLASSIC,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1976.0,ARGENTINA,1.0,2019-07-18,3 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-15,2017-05-29,CAPITAL FEDERAL Nº 058,Ciudad Autónoma de Bs.As.,Nacional,2017.0,SEDAN 4 P,RENAULT,SANDERO,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1948.0,ITALIA,1.0,2019-08-30,46 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-30,2018-08-31,CAPITAL FEDERAL Nº 064,Ciudad Autónoma de Bs.As.,Nacional,2018.0,SEDAN 4 P,RENAULT,LOGAN,Público,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1957.0,ARGENTINA,1.0,2019-09-13,45 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-01,2004-01-14,ALTA GRACIA Nº 1,Córdoba,Protocolo 21,2004.0,PICK UP,CHEVROLET,S10,Privado,Física,LOZADA,CORDOBA,No aplica,1957.0,ARGENTINA,1.0,2019-08-22,52 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-25,2014-01-30,CORDOBA Nº 17,Córdoba,Protocolo 21,2014.0,TODO TERRENO,RENAULT,DUSTER,Privado,Física,CORDOBA,CORDOBA,Masculino,1954.0,ARGENTINA,1.0,2019-09-23,60 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-05,2014-12-15,FLORENCIO VARELA Nº 3,Buenos Aires,Protocolo 21,2014.0,SEDAN 4 P,VOLKSWAGEN,VOYAGE,Privado,Física,FCIO.VARELA,BUENOS AIRES,Femenino,1968.0,ARGENTINA,1.0,2019-09-20,46 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-09,2006-07-28,CAPITAL FEDERAL Nº 037,Ciudad Autónoma de Bs.As.,Importado,2006.0,SEDAN 4 P,VOLKSWAGEN,VENTO,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1963.0,ARGENTINA,1.0,2019-08-21,12 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-08,2006-03-30,CAPITAL FEDERAL Nº 056,Ciudad Autónoma de Bs.As.,Nacional,2006.0,SEDAN 4 P,RENAULT,KANGOO,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1972.0,ARGENTINA,1.0,2019-08-08,0 days 00:00:00.000000000
