tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio
COMUNICACIÓN DE RECUPERO,2018-11-21,1994-09-20,SAN JORGE Nº 2,Santa Fe,Nacional,1994.0,SEDAN 4 PUERTAS,RENAULT,Privado,Física,EL TREBOL,SANTA FE,Masculino,1984.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-22,2000-05-12,VILLA CONSTITUCION Nº 2,Santa Fe,Nacional,2000.0,PICK-UP,FORD,Privado,Física,VILLA CONSTITUCION,SANTA FE,Masculino,1974.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-02,2017-06-21,RIO GRANDE N° 4,Tierra del Fuego,Protocolo 21,2017.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Física,RÍO GRANDE,T.DEL FUEGO,Masculino,1953.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-30,2008-04-22,CIPOLLETTI Nº 1,Río Negro,Nacional,2008.0,FURGON,RENAULT,Privado,Física,CATRIEL,RIO NEGRO,Masculino,1988.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-12-10,2010-02-18,CONCEPCION DEL URUGUAY Nº 2,Entre Ríos,Protocolo 21,2010.0,SEDAN 3 PTAS,FIAT,Privado,Física,VILLA ELVIRA,ENTRE RIOS,Femenino,1969.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-12-26,2006-05-23,MENDOZA Nº 02,Mendoza,Nacional,2006.0,FURGON,RENAULT,Privado,Física,CIUDAD,MENDOZA,No identificado,1959.0,NO IDENTIFICADO,0
COMUNICACIÓN DE RECUPERO,2018-12-18,1999-11-05,MENDOZA Nº 05,Mendoza,Nacional,1999.0,SEDAN 3 PUERTAS,VOLKSWAGEN,Privado,Física,LAS HERAS,MENDOZA,Masculino,1978.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-12-26,1981-02-06,MENDOZA Nº 05,Mendoza,Nacional,1981.0,SEDAN 4 PTAS,FORD,Privado,Física,LUJAN DE CUYO,MENDOZA,Masculino,1966.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-12-28,2015-06-24,MENDOZA Nº 09,Mendoza,Protocolo 21,2015.0,SEDAN 5 PUERTAS,CITROEN,Privado,Física,DORREGO,MENDOZA,Masculino,1962.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-12-03,2002-03-12,MENDOZA Nº 17,Mendoza,Protocolo 21,2002.0,PICK UP,CHEVROLET,Privado,Física,VILLA NUEVA,MENDOZA,Masculino,1983.0,ARGENTINA,1
